Wavelength,NEUT500,DBG6008,BYY8512,ABB6002,DPB4012,BRP6012
666,0.20877964,0.14782324,0.82437774,0.25001876,0.26905647,0.85982545
667,0.20861632,0.14886065,0.82548843,0.25014126,0.27319578,0.86301748
668,0.20777215,0.14837984,0.82710156,0.24886682,0.27783075,0.862054
669,0.20793222,0.14875376,0.82509463,0.24953286,0.28218557,0.86453641
670,0.20772513,0.14857987,0.82441403,0.25087927,0.28613229,0.86241611
671,0.20800016,0.14943517,0.82523456,0.25090994,0.29029533,0.86194424
672,0.20710396,0.14951888,0.82406884,0.25085654,0.29473699,0.86329805
673,0.20678667,0.14922615,0.82464865,0.25073535,0.30021271,0.86238437
674,0.20783343,0.14951587,0.82476527,0.2518982,0.30383194,0.86350193
675,0.206264,0.14993689,0.82304374,0.25241809,0.30677281,0.86326657
676,0.20647441,0.14956541,0.82472911,0.2522634,0.30911308,0.86266701
677,0.20604792,0.14987588,0.82559404,0.25195407,0.31319459,0.86489584
678,0.20637417,0.14931001,0.82579458,0.25292536,0.31542123,0.86448459
679,0.20607751,0.14963841,0.82586766,0.25340983,0.3196235,0.86194705
680,0.20552698,0.14997064,0.8260892,0.25406844,0.32291092,0.86226468
681,0.20546396,0.14966199,0.82732998,0.25320182,0.32425249,0.86640062
682,0.20483429,0.15010802,0.82789932,0.25386547,0.32765852,0.86704698
683,0.20507943,0.14962463,0.83031016,0.2542814,0.32942351,0.86402785
684,0.20557354,0.14984872,0.82832386,0.2540486,0.33162685,0.86382366
685,0.2045421,0.14909309,0.83084899,0.25448789,0.33395695,0.86444065
686,0.20511388,0.14991979,0.82793132,0.25519378,0.33634631,0.86696829
687,0.20438659,0.15019416,0.83030268,0.25542822,0.33878235,0.86604737
688,0.20336084,0.14913837,0.83379718,0.25599679,0.33979056,0.86774719
689,0.20372295,0.14919812,0.83403665,0.25571617,0.34301251,0.86776082
690,0.20367835,0.14969619,0.83750403,0.25663695,0.34449536,0.86947512
691,0.20474977,0.14852141,0.8343681,0.25689142,0.34688318,0.86887552
692,0.20355628,0.14922708,0.83756963,0.25698425,0.34880544,0.86693385
693,0.20365943,0.14846644,0.83542882,0.25811759,0.35090326,0.8668271
694,0.20365324,0.14822417,0.83591193,0.25900618,0.35131349,0.87202533
695,0.20278288,0.14779886,0.83825991,0.25702862,0.35170553,0.86851955
696,0.20276338,0.14756835,0.83938183,0.25863615,0.35567502,0.86983158
697,0.2022906,0.14772904,0.83968002,0.2584553,0.35832215,0.86874437
698,0.20231323,0.14735417,0.84237008,0.25910256,0.36065408,0.87160058
699,0.20222741,0.14619986,0.8420374,0.25857385,0.36090541,0.87012026
700,0.20258525,0.14582833,0.84250888,0.25873828,0.36166254,0.87211907
701,0.2021909,0.14603197,0.84427991,0.25843062,0.36489216,0.8686791
702,0.202198,0.14539085,0.8432667,0.25893085,0.36778784,0.86965233
703,0.20201638,0.1453279,0.84517793,0.25930711,0.37011001,0.8723723
704,0.20183825,0.14489995,0.84053779,0.26009526,0.37144139,0.87279507
705,0.20109013,0.14465837,0.8443439,0.2598419,0.37328446,0.87007438
706,0.20135237,0.14424517,0.84322311,0.25838539,0.37624895,0.87022649
707,0.20123737,0.14456246,0.84222411,0.25840748,0.37857319,0.87094264
708,0.20048823,0.14366112,0.84871849,0.25877819,0.38004624,0.8706213
709,0.20012242,0.14365196,0.84523548,0.25838174,0.38187722,0.87224504
710,0.2005861,0.14298999,0.84512894,0.258988,0.3834595,0.87225942
711,0.20037383,0.14310047,0.84608465,0.25800014,0.38635015,0.87383401
712,0.20073565,0.1428376,0.84591397,0.25822395,0.38742823,0.87186217
713,0.200028,0.14293402,0.84725999,0.25667004,0.39029687,0.873923
714,0.1993559,0.14288723,0.85045044,0.25743568,0.39213169,0.87264297
715,0.19916125,0.14395467,0.84808957,0.25752239,0.39445103,0.87086512
716,0.19869369,0.14393302,0.8464119,0.25745536,0.39662268,0.87719854
717,0.1988697,0.14449555,0.84981585,0.25733813,0.39830813,0.87198051
718,0.19892294,0.14478395,0.85059026,0.25658565,0.40078158,0.87706338
719,0.19730524,0.14470776,0.85002199,0.25633529,0.40194818,0.87206774
720,0.19851005,0.14550623,0.84990765,0.25678761,0.40580292,0.87421551
721,0.19708883,0.14626182,0.84988608,0.25495274,0.40747076,0.87443999
722,0.19853958,0.14638173,0.84963211,0.25703874,0.40949856,0.87351484
723,0.19781117,0.14693546,0.85314347,0.25685404,0.41018538,0.87379425
724,0.19717644,0.14845255,0.85295119,0.25635328,0.41305791,0.87491329
725,0.19750619,0.14827305,0.85252178,0.25499967,0.41740727,0.87282969
726,0.1974054,0.15007011,0.85477462,0.25656931,0.41706476,0.87436788
727,0.19682721,0.15062179,0.85294916,0.25519746,0.41961883,0.87454922
728,0.1970064,0.15167169,0.85464503,0.25516972,0.42326443,0.87918313
729,0.19686808,0.15231575,0.85364042,0.25604406,0.42477118,0.87421473
730,0.19656817,0.15435204,0.85681211,0.2566743,0.42729384,0.87628
731,0.19609131,0.15571184,0.85279824,0.2578142,0.43032072,0.87452601
732,0.19567688,0.15661228,0.85349043,0.25826338,0.43333189,0.87863189
733,0.19694274,0.15841189,0.85522149,0.25798143,0.43726295,0.87559718
734,0.19629641,0.15967617,0.85766159,0.25783885,0.44036778,0.87819893
735,0.19620404,0.1618304,0.85504775,0.25794895,0.44477137,0.87840011
736,0.19500061,0.16336219,0.85274218,0.25824627,0.44712083,0.87802839
737,0.19489026,0.16609012,0.85465524,0.25881501,0.45010745,0.87719998
738,0.19651144,0.16759673,0.85429865,0.25964983,0.45501229,0.87283921
739,0.19496914,0.17089405,0.85427997,0.26024885,0.4617639,0.87532661
